datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
03-10-2012 4.00,83,60,27,93,60,64,18,14,24,50,93,38,66,34,44,62,63,,93,94,62,83,93,88,76,34,77,55,,88,98,83,54,61,61,61
03-10-2012 5.00,87,64,31,77,53,73,19,16,39,61,87,46,72,42,44,62,63,87,93,94,62,88,94,88,77,87,77,52,93,88,94,88,45,61,61,61
03-10-2012 6.00,76,72,28,76,60,69,15,19,39,53,93,49,77,42,47,67,67,93,93,94,71,83,88,94,77,34,77,55,,88,76,83,45,60,60,56
03-10-2012 7.00,81,82,89,71,60,73,19,18,39,66,93,56,77,42,50,71,67,93,93,100,76,83,94,88,82,87,77,52,100,88,66,78,46,60,60,56
03-10-2012 8.00,80,86,89,67,24,52,24,42,,66,93,68,88,,75,62,,93,96,100,76,100,94,88,87,34,87,63,,88,58,74,46,60,60,56
03-10-2012 9.00,81,77,68,71,53,78,19,25,39,65,82,63,82,47,57,81,72,93,100,88,76,88,94,88,82,82,77,52,100,83,49,74,38,60,60,56
03-10-2012 10.00,83,71,48,76,56,77,17,28,47,61,87,68,82,54,70,81,72,93,100,83,87,88,94,88,87,,77,59,100,94,45,74,34,60,60,56
03-10-2012 11.00,85,76,83,87,26,59,30,,,50,82,68,77,74,93,76,,,100,93,87,88,94,94,93,82,88,100,93,88,43,74,32,60,60,56
03-10-2012 12.00,87,78,62,84,45,68,,32,,46,82,68,72,58,84,87,29,50,100,93,87,88,94,88,88,82,80,81,96,83,56,74,29,70,79,60
03-10-2012 13.00,87,81,42,81,64,64,21,28,50,43,82,68,87,62,75,76,59,100,93,88,87,83,88,83,93,97,72,63,100,83,60,74,29,79,79,65
03-10-2012 14.00,85,81,48,67,64,60,,26,50,47,82,63,72,54,57,71,55,93,93,77,87,78,78,83,93,87,68,60,,83,56,73,44,79,79,65
03-10-2012 15.00,80,79,53,58,56,54,,22,45,35,68,62,72,52,53,65,51,62,95,72,76,72,76,77,94,80,73,64,,84,63,73,59,79,79,65
03-10-2012 16.00,75,77,58,50,49,49,9,19,41,23,54,61,72,50,49,60,48,31,97,68,65,67,75,71,95,74,78,68,,86,71,73,74,79,79,65
03-10-2012 17.00,70,76,64,42,42,44,14,16,37,11,40,61,72,48,45,55,45,,100,64,55,62,74,66,96,68,83,72,,88,79,74,28,79,79,65
03-10-2012 18.00,62,71,60,39,24,45,11,15,34,12,36,47,82,46,37,56,43,72,93,68,52,58,69,74,83,62,88,82,,83,82,77,34,79,79,68
03-10-2012 19.00,63,63,56,34,21,51,11,13,30,10,31,41,36,43,28,46,43,77,87,72,52,55,69,83,83,37,88,88,,83,85,77,38,79,79,68
03-10-2012 20.00,47,63,50,32,38,51,11,11,25,9,31,39,36,38,30,43,40,77,93,73,49,58,69,83,78,42,94,93,,88,87,76,41,79,79,68
03-10-2012 21.00,48,55,41,33,33,45,10,10,21,8,33,39,36,36,26,46,42,77,93,73,49,66,61,83,78,52,100,93,,83,88,76,49,79,79,68
03-10-2012 22.00,51,52,28,33,34,53,9,9,18,8,33,39,38,36,26,56,45,79,93,73,52,67,67,83,78,60,94,96,38,85,88,72,58,79,79,68
03-10-2012 23.00,54,49,16,33,35,61,8,8,15,8,33,39,41,36,26,67,48,82,93,73,55,69,73,83,78,68,88,100,77,88,88,69,62,79,79,68
04-10-2012 0.00,,43,17,41,35,51,7,7,14,8,46,41,49,35,30,63,55,82,93,88,55,74,78,94,83,72,94,93,,83,90,73,69,79,79,68
04-10-2012 1.00,62,52,21,38,39,54,7,8,10,10,72,44,60,42,34,63,63,82,93,88,59,74,83,94,82,75,94,100,,88,91,69,88,79,79,68
04-10-2012 2.00,71,55,24,47,47,65,9,,13,11,77,49,68,52,41,72,63,87,87,93,59,74,83,88,88,93,94,100,93,88,94,77,74,79,79,68
04-10-2012 3.00,71,62,25,50,60,73,10,13,15,15,82,56,72,59,47,72,63,87,93,88,72,74,88,88,88,93,94,100,93,88,95,73,54,79,79,68
04-10-2012 4.00,70,58,31,58,69,73,13,16,15,17,87,56,77,67,47,82,68,93,93,93,77,74,88,88,88,82,94,100,93,83,94,79,58,79,79,68
04-10-2012 5.00,57,62,94,58,69,78,15,17,18,33,93,64,82,76,47,82,68,93,93,93,82,83,88,83,82,87,94,100,100,83,69,65,54,79,79,65
04-10-2012 6.00,61,66,88,58,73,78,14,18,25,14,87,72,88,76,54,82,72,93,93,93,82,78,88,88,82,87,100,100,100,88,58,61,52,62,62,47
04-10-2012 7.00,70,77,100,40,57,88,16,,29,11,87,60,93,,71,82,,100,93,100,82,100,100,80,88,80,100,100,100,88,51,57,51,62,62,47
04-10-2012 8.00,72,71,55,40,77,83,20,25,25,14,93,72,87,81,58,87,72,93,93,93,82,78,83,94,88,78,100,100,100,94,40,61,48,62,62,47
04-10-2012 9.00,71,83,94,71,66,88,18,,27,16,93,68,93,74,76,87,,,93,100,82,100,100,78,93,74,93,93,93,94,40,58,46,62,62,47
04-10-2012 10.00,,71,67,34,82,83,24,33,35,16,93,77,93,87,71,87,82,100,93,100,87,78,88,94,82,74,100,100,100,94,34,54,43,62,62,47
04-10-2012 11.00,45,71,67,60,82,88,28,28,33,21,100,72,87,87,71,87,82,93,93,93,93,78,93,88,82,76,100,100,,94,39,49,41,62,62,47
04-10-2012 12.00,43,66,72,56,82,88,28,31,43,24,93,72,100,81,76,87,82,93,93,100,93,78,88,88,82,79,100,100,93,88,45,49,34,69,69,58
04-10-2012 13.00,41,77,72,63,82,88,28,37,,20,67,92,96,87,76,87,87,,93,100,93,83,,83,93,80,,,100,93,55,53,34,69,69,58
04-10-2012 14.00,40,74,72,59,82,94,23,32,,26,67,73,93,76,71,77,87,,100,93,88,83,73,79,89,77,94,,,88,61,55,34,69,69,58
04-10-2012 15.00,,61,72,56,93,94,18,27,33,18,61,59,93,51,54,72,82,,93,82,93,83,64,66,84,93,100,100,,69,61,61,34,69,69,58
04-10-2012 16.00,61,23,68,57,88,94,16,26,22,13,46,44,50,43,45,63,82,56,82,72,77,78,61,66,64,93,88,88,,74,67,68,36,69,69,58
04-10-2012 17.00,19,25,68,35,73,83,13,25,17,9,41,36,44,35,35,53,77,46,77,64,68,78,61,66,68,100,78,83,,78,83,65,38,69,69,58
04-10-2012 18.00,19,25,64,47,61,69,10,19,14,9,41,30,42,29,27,49,72,46,63,56,64,69,57,66,64,91,74,83,,74,75,73,38,75,75,81
04-10-2012 19.00,19,24,64,47,54,61,11,17,11,7,39,30,42,27,25,49,68,49,68,60,63,66,61,66,60,91,69,88,,78,73,76,40,75,75,81
04-10-2012 20.00,19,22,57,39,54,61,10,14,12,7,36,30,42,31,25,49,64,46,56,60,63,78,60,66,60,,65,88,,83,75,78,38,75,75,81
04-10-2012 21.00,44,22,64,39,57,54,10,11,8,13,36,28,51,31,23,43,68,44,60,56,68,78,60,66,56,93,69,88,,78,81,64,54,75,75,81
04-10-2012 22.00,,19,47,31,57,61,8,11,7,7,39,30,57,29,23,46,72,46,52,56,68,88,69,66,56,100,69,88,,83,75,64,61,75,75,81
04-10-2012 23.00,25,19,41,,60,65,8,10,7,15,39,28,57,31,25,53,77,53,68,64,68,88,73,70,60,100,74,88,72,83,73,69,65,75,75,81
05-10-2012 0.00,29,19,47,33,50,73,7,10,8,,47,34,64,37,32,68,82,56,63,82,72,88,77,74,64,93,78,88,,83,77,69,61,75,75,81
05-10-2012 1.00,26,22,53,36,60,73,9,12,9,40,64,38,69,43,30,68,88,68,67,93,77,88,77,78,64,93,78,94,72,83,77,69,69,75,75,81
05-10-2012 2.00,46,25,68,44,77,78,9,16,11,20,68,44,73,43,37,72,82,77,67,93,77,94,77,79,68,100,78,100,72,83,81,69,93,75,75,81
05-10-2012 3.00,37,25,68,41,88,83,11,18,12,,68,44,77,45,42,77,77,82,72,93,77,94,83,79,72,100,83,100,82,83,82,73,69,75,75,81
05-10-2012 4.00,46,,72,47,88,78,12,20,12,,73,49,77,52,45,77,77,82,72,93,82,100,88,83,68,93,83,100,93,88,76,73,64,75,75,81
05-10-2012 5.00,46,29,72,50,82,83,10,21,15,27,82,56,73,52,45,82,77,93,77,100,82,94,88,88,77,93,83,100,,88,64,69,57,75,75,81
05-10-2012 6.00,40,31,72,46,82,83,15,23,17,55,83,56,88,55,48,93,72,93,76,93,82,100,88,94,72,93,88,100,87,88,58,69,53,63,63,49
05-10-2012 7.00,46,41,80,39,81,85,7,27,19,27,85,56,90,60,24,93,75,96,78,93,82,97,90,88,82,90,94,96,90,88,48,55,49,63,63,49
05-10-2012 8.00,52,52,88,32,81,88,,32,22,,88,56,93,65,,93,79,100,81,93,82,94,93,83,93,87,100,93,93,88,39,42,45,63,63,49
05-10-2012 9.00,52,59,88,44,81,85,11,31,23,32,88,62,90,62,31,93,75,96,84,93,79,94,96,85,82,87,94,96,93,88,37,44,39,63,63,49
05-10-2012 10.00,52,66,88,57,82,82,22,31,24,64,88,68,88,59,62,93,72,93,87,93,77,94,100,88,72,87,88,100,93,88,36,46,33,63,63,49
05-10-2012 11.00,73,70,72,70,88,82,24,31,28,59,88,72,82,59,70,93,72,87,87,100,82,94,93,83,72,92,94,94,,94,38,48,26,63,63,49
05-10-2012 12.00,72,61,77,70,77,77,22,33,28,59,88,72,82,51,70,87,77,100,82,93,82,94,93,83,82,87,94,94,,88,41,61,24,72,72,61
05-10-2012 13.00,49,57,77,66,77,82,22,49,26,59,88,77,82,58,70,77,72,93,82,93,77,88,93,79,72,93,83,94,,78,48,61,23,72,72,61
05-10-2012 14.00,78,61,72,42,72,77,25,46,26,59,83,73,73,58,70,72,72,88,77,88,67,83,88,74,68,87,94,94,,74,52,65,23,72,72,61
05-10-2012 15.00,52,57,72,76,72,73,21,44,23,55,83,64,65,54,61,64,63,68,72,73,63,78,73,66,59,80,88,88,,69,68,65,23,72,72,61
05-10-2012 16.00,61,53,72,66,64,68,,30,19,55,69,61,61,55,65,53,53,57,64,56,56,62,73,66,52,50,83,88,,48,67,65,24,72,72,61
05-10-2012 17.00,,54,60,46,64,64,,26,,70,69,61,58,94,70,53,55,,53,60,52,66,53,74,56,43,83,88,,48,80,69,31,72,72,61
05-10-2012 18.00,19,41,74,47,63,53,,,17,,61,58,51,94,,,50,47,47,47,46,83,47,66,43,39,78,94,,48,78,69,33,72,72,78
05-10-2012 19.00,,35,50,36,55,53,15,,,,51,54,88,94,,,50,,47,47,36,78,41,72,49,37,78,94,,51,82,69,35,72,72,78
05-10-2012 20.00,19,16,74,41,49,57,7,,,,48,54,48,88,,,52,,39,44,36,88,39,73,49,36,78,83,,45,91,69,39,72,72,78
05-10-2012 21.00,22,15,47,45,41,53,,,13,,43,53,46,94,,,58,,47,47,33,88,41,76,46,,83,78,93,51,80,69,57,72,72,78
05-10-2012 22.00,19,14,79,42,52,53,,,13,55,43,52,55,78,,,69,,41,47,36,83,41,76,52,35,73,94,,57,87,65,82,72,72,78
05-10-2012 23.00,19,26,50,,60,64,,,,56,40,54,55,,,,,,44,53,38,94,60,76,49,32,78,83,100,61,89,69,73,72,72,78
06-10-2012 0.00,19,26,63,,60,64,10,14,13,45,48,55,100,62,52,56,82,,68,64,46,100,60,74,63,33,73,88,93,69,83,73,64,72,72,78
06-10-2012 1.00,19,18,67,27,64,68,9,15,13,48,69,54,78,62,52,60,81,72,72,77,52,94,68,78,59,39,69,88,,73,83,73,100,72,72,78
06-10-2012 2.00,36,29,100,28,76,77,14,,20,68,69,57,93,62,,,75,,63,77,82,94,93,75,72,41,93,93,,73,86,73,93,72,72,78
06-10-2012 3.00,44,25,72,50,82,73,14,16,14,55,73,57,83,71,56,62,66,88,77,82,49,100,88,78,67,40,88,88,93,78,94,73,64,72,72,78
06-10-2012 4.00,50,31,77,50,82,73,15,24,16,55,78,61,83,76,56,71,62,88,77,87,82,94,88,78,67,42,93,83,100,78,83,78,64,72,72,78
06-10-2012 5.00,44,25,72,,82,77,15,23,17,64,83,61,88,76,56,76,62,93,77,87,88,88,93,78,72,43,88,88,,83,73,78,61,72,72,78
06-10-2012 6.00,48,25,77,,82,72,,26,16,64,83,61,88,71,56,71,62,87,87,100,88,88,93,78,67,45,88,88,,88,63,69,56,55,55,43
06-10-2012 7.00,54,47,94,53,90,87,,,22,64,83,61,100,,,76,62,100,76,,88,100,100,80,77,47,93,100,100,83,43,65,51,55,55,43
06-10-2012 8.00,50,52,91,55,89,82,,16,23,66,85,69,94,33,28,71,59,96,84,46,79,94,96,81,74,67,87,94,96,83,31,61,37,55,55,43
06-10-2012 9.00,46,57,88,57,88,77,,33,24,69,88,78,88,66,56,66,57,93,93,93,71,88,93,83,72,87,82,88,93,83,26,58,24,55,55,43
06-10-2012 10.00,46,70,77,61,88,72,30,33,23,64,88,78,88,61,60,71,,93,76,93,76,100,87,83,77,,72,88,,83,29,65,21,55,55,43
06-10-2012 11.00,46,66,72,81,88,68,28,37,32,,93,78,94,61,64,71,,93,81,93,71,100,93,78,82,87,72,77,,83,29,61,21,55,55,43
06-10-2012 12.00,63,80,100,46,94,77,39,48,34,,93,88,88,88,69,87,64,100,81,82,76,94,100,76,82,61,100,72,,83,41,58,21,66,66,60
06-10-2012 13.00,69,55,78,76,77,72,36,54,,92,88,73,100,94,80,93,62,,81,82,71,94,100,77,72,88,82,,93,73,44,58,20,66,66,60
06-10-2012 14.00,72,86,74,81,94,77,36,56,,,88,72,83,94,80,87,59,,87,72,66,94,72,74,68,68,72,64,,61,51,58,20,66,66,60
06-10-2012 15.00,74,75,77,,82,72,24,37,29,80,73,73,65,57,60,93,52,69,93,64,62,74,56,70,64,36,53,56,93,53,59,61,21,66,66,60
06-10-2012 16.00,100,66,77,62,72,68,22,33,,80,57,73,61,57,56,93,,57,100,50,62,70,47,66,56,33,47,56,,47,73,61,22,66,66,60
06-10-2012 17.00,35,54,68,43,72,64,18,26,24,69,54,65,58,57,45,93,52,47,100,44,54,62,41,62,53,28,44,50,,50,76,65,33,66,66,60
06-10-2012 18.00,19,20,63,31,64,60,,22,19,69,54,58,54,,45,93,,47,93,44,54,78,42,58,53,25,41,41,,44,67,71,42,67,67,77
06-10-2012 19.00,19,16,63,38,56,56,15,20,17,64,45,58,48,43,42,87,,44,93,42,54,88,42,55,49,25,39,44,,47,82,72,47,67,67,77
06-10-2012 20.00,19,15,56,36,50,60,14,16,13,64,45,51,48,,42,87,57,47,93,39,54,74,42,55,49,24,39,39,,47,82,64,68,67,67,77
06-10-2012 21.00,19,13,53,34,57,60,13,14,13,64,42,54,51,53,45,87,49,44,87,37,66,74,42,58,49,23,39,42,,50,83,75,50,67,67,77
06-10-2012 22.00,19,14,46,28,56,60,15,13,12,80,40,54,54,,48,93,57,44,87,42,81,74,44,66,49,24,44,53,,64,88,64,77,67,67,77
06-10-2012 23.00,26,13,60,32,56,64,14,,10,64,48,54,58,,48,81,57,53,93,41,87,74,56,70,53,48,56,53,77,73,89,73,77,67,67,77
07-10-2012 0.00,28,14,68,32,56,68,,10,11,69,54,53,65,61,52,81,57,56,93,73,81,78,68,74,56,24,64,60,,82,76,73,57,67,67,77
07-10-2012 1.00,23,16,68,34,64,73,13,13,12,74,68,60,73,,52,81,36,68,93,82,81,78,64,74,63,,68,68,,88,76,73,57,67,67,77
07-10-2012 2.00,38,20,68,36,68,73,,16,13,,77,67,78,,56,75,36,82,93,93,87,78,72,74,63,62,72,68,77,82,83,73,60,67,67,77
07-10-2012 3.00,,22,72,44,77,73,19,17,14,93,82,67,83,70,55,81,36,68,90,88,87,78,77,74,68,71,77,64,,93,84,73,60,67,67,77
07-10-2012 4.00,43,20,77,47,82,73,24,18,14,100,73,63,88,75,55,75,42,73,87,87,87,83,82,74,68,81,77,64,,93,96,73,54,67,67,77
07-10-2012 5.00,53,23,77,30,82,77,27,19,14,,77,67,88,80,59,80,45,93,100,87,87,88,82,74,63,62,77,64,,88,73,69,50,67,67,77
07-10-2012 6.00,35,27,82,42,88,78,27,20,17,,80,67,89,78,62,84,49,93,96,89,89,88,83,75,69,70,78,73,24,89,61,67,46,64,64,66
07-10-2012 7.00,17,32,88,54,94,80,28,21,20,,84,67,91,76,65,88,54,93,93,91,91,88,85,76,75,78,80,83,48,91,49,66,42,62,62,55
07-10-2012 8.00,,37,94,66,100,82,30,23,24,,88,67,93,75,69,93,59,93,93,93,93,88,87,78,81,87,82,93,72,93,37,65,35,59,59,44
07-10-2012 9.00,,,82,81,82,88,30,28,38,,93,66,93,70,69,86,59,93,93,100,87,94,87,78,81,87,82,72,72,88,37,61,31,59,59,44
07-10-2012 10.00,62,46,87,81,82,82,30,35,85,,93,66,100,,69,86,59,93,93,93,93,88,87,83,87,,82,72,93,88,30,61,29,59,59,44
07-10-2012 11.00,50,61,87,81,93,82,30,33,53,,88,71,100,60,69,80,59,87,93,93,93,94,93,83,93,74,93,87,93,87,37,61,27,59,59,44
07-10-2012 12.00,53,61,87,81,88,77,28,37,53,,93,66,100,60,74,80,64,87,86,93,93,94,87,83,87,74,88,77,,93,46,61,26,68,68,53
07-10-2012 13.00,50,81,87,81,82,77,21,40,57,,93,71,93,56,74,75,64,87,78,87,87,83,88,74,87,68,77,68,93,78,48,61,25,68,68,53
07-10-2012 14.00,100,81,82,70,88,77,22,37,57,,83,71,88,52,69,70,56,87,70,82,75,83,82,74,81,48,64,60,93,73,58,61,24,68,68,53
07-10-2012 15.00,74,75,82,70,77,77,,33,57,,78,76,83,45,64,65,48,66,65,60,,74,68,62,87,36,60,60,,50,60,57,25,68,68,53
07-10-2012 16.00,66,70,72,54,82,72,,27,,,73,71,69,42,55,,45,58,61,60,52,66,57,62,66,28,57,57,,44,70,54,27,68,68,53
07-10-2012 17.00,50,50,68,38,68,73,15,26,8,80,69,76,61,45,59,,45,47,61,50,,70,47,58,53,28,57,50,,42,77,57,26,68,68,53
07-10-2012 18.00,,24,63,44,64,64,12,20,16,74,69,66,61,48,41,49,42,41,53,51,,69,47,62,50,29,50,50,,44,73,57,25,69,69,72
07-10-2012 19.00,63,13,52,34,53,64,11,20,26,86,64,66,61,42,41,49,42,38,53,51,,74,39,70,43,29,53,50,76,42,81,61,42,69,69,72
07-10-2012 20.00,,12,43,34,50,60,11,17,24,74,64,62,58,45,41,46,42,41,53,51,,83,44,70,41,29,56,56,,47,81,61,43,69,69,72
07-10-2012 21.00,,,52,18,56,44,14,21,23,80,64,71,48,50,45,55,,,53,65,,74,41,68,43,,60,68,87,54,81,64,44,69,69,72
07-10-2012 22.00,48,11,40,22,57,60,10,15,23,80,61,62,54,45,41,,42,38,57,57,,70,47,70,,36,55,68,76,64,81,64,45,69,69,72
07-10-2012 23.00,45,11,40,22,57,64,10,16,24,69,64,66,54,45,38,,45,41,61,69,,74,57,70,,61,55,63,81,82,70,68,46,69,69,72
08-10-2012 0.00,45,11,43,18,56,69,12,17,,86,72,66,57,48,38,,45,47,61,73,,78,60,69,50,,51,62,81,77,76,68,60,69,69,72
08-10-2012 1.00,48,13,55,22,68,73,12,17,59,,72,76,83,48,41,52,45,47,61,77,61,83,88,69,57,43,51,62,,82,70,73,53,69,69,72
08-10-2012 2.00,55,16,63,29,68,78,13,20,66,,72,81,83,52,48,,45,57,61,77,65,78,88,74,57,44,58,62,,71,69,73,46,69,69,72
08-10-2012 3.00,,20,67,33,73,78,14,21,16,,72,70,88,52,51,56,48,66,70,82,61,83,82,78,61,48,54,62,,66,65,73,60,69,69,72
08-10-2012 4.00,51,23,67,38,73,78,20,24,16,,82,66,82,56,59,,48,76,75,77,61,88,88,83,57,48,62,62,,81,81,73,58,69,69,72
08-10-2012 5.00,54,23,72,41,73,78,22,26,16,80,76,66,82,56,64,75,48,76,70,82,,88,88,83,65,50,66,58,,93,65,65,57,69,69,72
08-10-2012 6.00,50,33,72,50,73,83,26,27,,,76,66,82,56,69,60,48,70,70,82,65,88,88,88,61,70,66,54,75,87,48,57,53,54,54,40
08-10-2012 7.00,54,33,82,54,77,83,24,36,65,74,81,66,82,60,69,,48,70,70,87,65,88,87,83,57,92,57,54,,87,30,54,47,54,54,40
08-10-2012 8.00,65,43,82,66,77,83,22,31,64,,81,66,82,64,,70,52,70,75,87,70,94,77,88,65,92,57,54,,87,33,57,42,54,54,40
08-10-2012 9.00,54,57,82,66,82,83,21,31,64,,81,61,82,64,80,70,52,70,75,82,70,94,82,83,,93,61,54,,93,37,61,33,54,54,40
08-10-2012 10.00,75,53,82,71,88,77,24,37,69,,81,61,82,74,79,75,52,70,77,87,75,100,82,83,61,94,61,70,,93,41,57,24,54,54,40
